Date,Price,Open,High,Low,Vol.,Change %
3/7/2022,30253.9,30333.4,30810.4,30214.1,16.47M,-0.0117
3/8/2022,29816.6,29896.1,30611.7,29816.6,17.84M,-0.0145
3/9/2022,29220.2,29975.6,30094.8,29220.2,29.10M,-0.0200
3/10/2022,31207.9,31207.9,31207.9,31207.9,2.00M,0.0680
3/11/2022,31844.8,33363.5,33363.5,31844.8,32.60M,0.0204
3/14/2022,31109.9,31452.8,31697.8,30717.9,7.35M,-0.0231
3/15/2022,31942.8,31256.9,32873.6,31109.9,8.55M,0.0268
3/16/2022,31893.8,32530.7,32530.7,31795.8,4.87M,-0.0015
3/17/2022,31452.8,32334.7,32334.7,31354.8,6.10M,-0.0138
3/18/2022,31305.9,31354.8,31746.8,31060.9,13.11M,-0.0047
3/21/2022,31354.8,31403.8,31648.8,31060.9,6.94M,0.0016
3/22/2022,31501.8,31354.8,32236.7,31305.9,8.16M,0.0047
3/23/2022,31305.9,31550.8,31844.8,31207.9,6.82M,-0.0062
3/24/2022,30864.9,31305.9,31354.8,30864.9,8.94M,-0.0141
3/25/2022,30473,30669,31158.9,30375,8.46M,-0.0127
3/28/2022,29591.1,29983.1,30375,29199.2,10.10M,-0.0289
3/29/2022,30277,30277,30620,29885.1,5.30M,0.0232
3/30/2022,30326,29983.1,30815.9,29689.1,5.88M,0.0016
3/31/2022,29885.1,30473,30620,29689.1,4.55M,-0.0145
4/1/2022,31060.9,29885.1,31158.9,29493.2,7.85M,0.0393
4/4/2022,33216.5,31746.8,33216.5,31697.8,28.16M,0.0694
4/5/2022,33902.4,33412.5,35372.2,33412.5,17.04M,0.0206
4/6/2022,34784.3,33314.5,35274.2,33314.5,18.82M,0.0260
4/7/2022,34294.4,34784.3,36254,34294.4,23.24M,-0.0141
4/8/2022,34392.4,34294.4,35274.2,33853.4,17.99M,0.0029
4/12/2022,32334.7,35078.2,35078.2,32334.7,16.61M,-0.0598
4/13/2022,34588.3,32432.7,34588.3,31158.9,16.66M,0.0697
4/14/2022,33853.4,34784.3,35225.2,33657.5,12.34M,-0.0212
4/15/2022,33020.6,33510.5,34539.3,32824.6,12.86M,-0.0246
4/18/2022,31550.8,32138.7,32824.6,30864.9,18.70M,-0.0445
4/19/2022,29395.2,31648.8,32383.7,29395.2,15.77M,-0.0683
4/20/2022,29689.1,29395.2,30766.9,29003.2,13.76M,0.0100
4/21/2022,31697.8,29689.1,31746.8,29493.2,14.54M,0.0677
4/22/2022,31011.9,32334.7,32677.6,29934.1,13.20M,-0.0216
4/25/2022,28856.3,31011.9,31501.8,28856.3,16.40M,-0.0695
4/26/2022,30864.9,28415.3,30864.9,26896.6,15.52M,0.0696
4/27/2022,30571,30375,31109.9,29934.1,7.46M,-0.0095
4/28/2022,29787.1,30326,30913.9,29689.1,9.71M,-0.0256
4/29/2022,30375,29542.2,30766.9,29444.2,10.43M,0.0197
5/4/2022,29395.2,30081.1,30669,29395.2,7.95M,-0.0323
5/5/2022,28415.3,29836.1,29983.1,28072.4,10.87M,-0.0333
5/6/2022,26455.7,27337.5,28072.4,26455.7,14.96M,-0.0690
5/9/2022,24642.9,25279.8,25867.8,24642.9,14.59M,-0.0685
5/10/2022,25034.9,23222.2,25328.8,23124.2,11.67M,0.0159
5/11/2022,24789.9,25083.9,25377.8,24349,4.53M,-0.0098
5/12/2022,23075.2,24006.1,24496,23075.2,8.09M,-0.0692
5/13/2022,21507.5,23026.2,23222.2,21507.5,17.31M,-0.0679
5/16/2022,22193.3,22536.3,22977.2,21556.5,8.47M,0.0319
5/17/2022,23712.1,21997.4,23712.1,21458.5,8.21M,0.0684
5/18/2022,24251,24496,25279.8,23908.1,10.79M,0.0227
5/19/2022,24691.9,23516.1,24887.9,23418.2,8.42M,0.0182
5/20/2022,24104,24985.9,25181.9,24006.1,9.34M,-0.0238
5/23/2022,22830.3,24300,24349,22438.3,10.08M,-0.0528
5/24/2022,23516.1,22830.3,23516.1,21262.5,13.60M,0.0300
5/25/2022,24300,23516.1,24691.9,23418.2,9.62M,0.0333
5/26/2022,24350,24500,25500,24200,7.95M,0.0021
5/27/2022,24450,24350,24950,24000,8.74M,0.0041
5/30/2022,24950,24650,25300,24450,10.66M,0.0204
5/31/2022,25250,25000,25700,24600,10.69M,0.0120
6/1/2022,25450,25000,25900,24600,9.03M,0.0079
6/2/2022,24850,25500,25950,24600,10.98M,-0.0236
6/3/2022,24350,24650,24900,24050,8.60M,-0.0201
6/6/2022,24100,24250,25000,23950,6.12M,-0.0103
6/7/2022,23900,23950,24050,22500,9.66M,-0.0083
6/8/2022,24700,24350,25200,23850,8.70M,0.0335
6/9/2022,24950,25000,25400,24700,6.61M,0.0101
6/10/2022,24000,24600,24900,24000,6.29M,-0.0381
6/13/2022,22350,22600,23300,22350,10.70M,-0.0688
6/14/2022,20900,21500,22300,20800,10.12M,-0.0649
6/15/2022,19450,20500,21300,19450,30.21M,-0.0694
6/16/2022,18150,19950,20000,18100,26.01M,-0.0668
6/17/2022,16900,17100,17500,16900,28.72M,-0.0689
6/20/2022,15750,17450,17650,15750,29.31M,-0.0680
6/21/2022,15900,15300,16800,14850,28.57M,0.0095
6/22/2022,17000,16550,17000,16400,25.63M,0.0692
